sample_size,power,mcse,method,lower,upper,p_value_power,p_value_mcse,p_value_upper,p_value_lower
95,0.0468,0.0029869636757081596,GLM_Gaussian,0.04094565877248263,0.05265434122751737,0.044,0.002900482718445328,0.04968484166593367,0.038315158334066325
95,0.0534,0.0031795735563122296,Log_LR,0.047168150343432094,0.05963184965656791,0.0514,0.0031227564746550444,0.05752049022281315,0.04527950977718685
95,0.0504,0.0030938597253269257,LR,0.044336146365140244,0.056463853634859756,0.0484,0.0030350433275325743,0.05434857561348245,0.04245142438651755
95,0.0546,0.003213062090903318,OLR,0.04830251402173854,0.060897485978261466,0.0546,0.003213062090903318,0.060897485978261466,0.04830251402173854
100,0.054200000000000005,0.0032019481569819336,GLM_Gamma,0.047924296931951015,0.060475703068048996,0.052,0.003139936305086458,0.05815416207171922,0.04584583792828077
100,0.0502,0.003088040155179333,GLM_Gaussian,0.04414755251303503,0.05625244748696497,0.048,0.0030231109804305894,0.05392518864291153,0.042074811357088474
100,0.048600000000000004,0.0030409879973455995,Log_LR,0.042639773047784046,0.05456022695221596,0.0444,0.002913027291324268,0.05010942857697783,0.03869057142302217
100,0.0548,0.003218600938296017,LR,0.04849165808033298,0.06110834191966702,0.0522,0.003145636978419474,0.05836533518613957,0.04603466481386043
100,0.055,0.0032241277890307017,OLR,0.04868082565194507,0.06131917434805493,0.055,0.0032241277890307017,0.06131917434805493,0.04868082565194507
105,0.055400000000000005,0.0032351457463304493,GLM_Gamma,0.04905923085245437,0.061740769147545636,0.0518,0.003134222710657301,0.05794296363241581,0.04565703636758419
105,0.0482,0.0030290843500965763,GLM_Gaussian,0.04226310376767679,0.054136896232323206,0.0464,0.0029747954551531774,0.05223049195347366,0.040569508046526336
105,0.0574,0.0032895361375124,Log_LR,0.050952627644632695,0.0638473723553673,0.0542,0.0032019481569819336,0.06047570306804899,0.04792429693195101
105,0.0546,0.003213062090903318,LR,0.04830251402173854,0.060897485978261466,0.0514,0.0031227564746550444,0.05752049022281315,0.04527950977718685
105,0.055400000000000005,0.0032351457463304493,OLR,0.04905923085245437,0.061740769147545636,0.0554,0.0032351457463304493,0.06174076914754563,0.049059230852454366
110,0.0528,0.003162662169755094,GLM_Gamma,0.046601296052012714,0.058998703947987285,0.0502,0.003088040155179333,0.05625244748696497,0.04414755251303503
110,0.050800000000000005,0.0031054584202658392,GLM_Gaussian,0.04471341334079231,0.0568865866592077,0.0474,0.0030051036587778464,0.05328989494101412,0.04151010505898588
110,0.056600000000000004,0.003267917991627085,Log_LR,0.050194998431980456,0.06300500156801955,0.0538,0.0031907854832313627,0.0600538246295267,0.0475461753704733
110,0.0546,0.003213062090903318,LR,0.04830251402173854,0.060897485978261466,0.0518,0.003134222710657301,0.05794296363241581,0.04565703636758419
110,0.054,0.003196372944448129,OLR,0.047735224147723423,0.060264775852276575,0.054,0.003196372944448129,0.060264775852276575,0.047735224147723423
115,0.0548,0.003218600938296017,GLM_Gamma,0.04849165808033298,0.06110834191966702,0.0526,0.003156999841621789,0.05878760598877736,0.046412394011222644
115,0.0516,0.0031284961243383375,GLM_Gaussian,0.04546826027052372,0.05773173972947628,0.0498,0.0030763601869742106,0.055829555169942355,0.04377044483005764
115,0.0562,0.003257040374327589,Log_LR,0.04981631817012507,0.06258368182987493,0.0538,0.0031907854832313627,0.0600538246295267,0.0475461753704733
115,0.0562,0.003257040374327589,LR,0.04981631817012507,0.06258368182987493,0.054,0.003196372944448129,0.060264775852276575,0.047735224147723423
115,0.049800000000000004,0.0030763601869742106,OLR,0.043770444830057646,0.05582955516994236,0.0498,0.0030763601869742106,0.055829555169942355,0.04377044483005764
120,0.042800000000000005,0.0028624520956690267,GLM_Gamma,0.03718969698501751,0.048410303014982496,0.041,0.002804246779440069,0.04649622269146497,0.03550377730853503
120,0.041800000000000004,0.002830291857741883,GLM_Gaussian,0.036252729893088954,0.04734727010691105,0.0386,0.0027243362494376497,0.04393960093067473,0.03326039906932528
120,0.0476,0.0030111207215918795,Log_LR,0.04169831183257766,0.053501688167422345,0.0454,0.002944107334999864,0.05117034434321993,0.039629655656780075
120,0.0446,0.0029192752525241603,LR,0.038878325644093575,0.050321674355906426,0.0422,0.0028432080472592927,0.04777258537318267,0.03662741462681733
120,0.0442,0.0029067631482458285,OLR,0.03850284891784992,0.049897151082150086,0.0442,0.0029067631482458285,0.049897151082150086,0.03850284891784992
125,0.0504,0.0030938597253269257,GLM_Gamma,0.044336146365140244,0.056463853634859756,0.0468,0.0029869636757081596,0.05265434122751737,0.04094565877248263
125,0.0482,0.0030290843500965763,GLM_Gaussian,0.04226310376767679,0.054136896232323206,0.0458,0.0029564289269319497,0.05159449421963902,0.04000550578036098
125,0.0536,0.003185185708871619,Log_LR,0.04735715072653995,0.05984284927346006,0.0494,0.003064625262572897,0.05540655514075448,0.04339344485924552
125,0.0512,0.0031170036894427955,LR,0.045090785029013654,0.05730921497098635,0.0494,0.003064625262572897,0.05540655514075448,0.04339344485924552
125,0.054200000000000005,0.0032019481569819336,OLR,0.047924296931951015,0.060475703068048996,0.0542,0.0032019481569819336,0.06047570306804899,0.04792429693195101
130,0.0522,0.003145636978419474,GLM_Gamma,0.04603466481386043,0.05836533518613957,0.0506,0.0030996657884359083,0.05667523330944533,0.04452476669055467
130,0.0494,0.003064625262572897,GLM_Gaussian,0.04339344485924552,0.05540655514075448,0.0472,0.0029990718564249174,0.05307807282564052,0.04132192717435948
130,0.050800000000000005,0.0031054584202658392,Log_LR,0.04471341334079231,0.0568865866592077,0.0484,0.0030350433275325743,0.05434857561348245,0.04245142438651755
130,0.0524,0.003151324800778238,LR,0.04622351688688679,0.05857648311311321,0.0508,0.0031054584202658392,0.05688658665920769,0.044713413340792305
130,0.051000000000000004,0.0031112376958374625,OLR,0.04490208616881519,0.057097913831184816,0.051,0.003111237695837462,0.0570979138311848,0.04490208616881519
135,0.05,0.0030822070014844883,GLM_Gamma,0.04395898528419322,0.05604101471580679,0.0478,0.003017123133052412,0.05371345267770538,0.041886547322294625
135,0.0466,0.002980887116279313,GLM_Gaussian,0.04075756861011309,0.05244243138988691,0.0446,0.0029192752525241603,0.050321674355906426,0.038878325644093575
135,0.0522,0.003145636978419474,Log_LR,0.04603466481386043,0.05836533518613957,0.049,0.0030528347482299137,0.05498344615728303,0.04301655384271697
135,0.0502,0.003088040155179333,LR,0.04414755251303503,0.05625244748696497,0.0484,0.0030350433275325743,0.05434857561348245,0.04245142438651755
135,0.0528,0.003162662169755094,OLR,0.046601296052012714,0.058998703947987285,0.0528,0.003162662169755094,0.058998703947987285,0.046601296052012714
140,0.049800000000000004,0.0030763601869742106,GLM_Gamma,0.043770444830057646,0.05582955516994236,0.0478,0.003017123133052412,0.05371345267770538,0.041886547322294625
140,0.0476,0.0030111207215918795,GLM_Gaussian,0.04169831183257766,0.053501688167422345,0.0458,0.0029564289269319497,0.05159449421963902,0.04000550578036098
140,0.0454,0.002944107334999864,Log_LR,0.039629655656780075,0.05117034434321993,0.0424,0.0028496399772602854,0.0479851917243357,0.0368148082756643
140,0.051000000000000004,0.0031112376958374625,LR,0.04490208616881519,0.057097913831184816,0.0484,0.0030350433275325743,0.05434857561348245,0.04245142438651755
140,0.0522,0.003145636978419474,OLR,0.04603466481386043,0.05836533518613957,0.0522,0.003145636978419474,0.05836533518613957,0.04603466481386043
145,0.053200000000000004,0.003173948959892077,GLM_Gamma,0.04697917434984317,0.05942082565015684,0.0516,0.0031284961243383375,0.05773173972947628,0.04546826027052372
145,0.0506,0.0030996657884359083,GLM_Gaussian,0.04452476669055467,0.05667523330944533,0.0484,0.0030350433275325743,0.05434857561348245,0.04245142438651755
145,0.05,0.0030822070014844883,Log_LR,0.04395898528419322,0.05604101471580679,0.0484,0.0030350433275325743,0.05434857561348245,0.04245142438651755
145,0.054,0.003196372944448129,LR,0.047735224147723423,0.060264775852276575,0.0508,0.0031054584202658392,0.05688658665920769,0.044713413340792305
145,0.0512,0.0031170036894427955,OLR,0.045090785029013654,0.05730921497098635,0.0512,0.0031170036894427955,0.05730921497098635,0.045090785029013654
150,0.0446,0.0029192752525241603,GLM_Gamma,0.038878325644093575,0.050321674355906426,0.0434,0.0028815426424052795,0.04904771979903073,0.037752280200969275
150,0.044000000000000004,0.002900482718445328,GLM_Gaussian,0.03831515833406633,0.04968484166593368,0.041,0.002804246779440069,0.04649622269146497,0.03550377730853503
150,0.0524,0.003151324800778238,Log_LR,0.04622351688688679,0.05857648311311321,0.0506,0.0030996657884359083,0.05667523330944533,0.04452476669055467
